dia_semana,hora,LINEA,ID,TOTAL
lunes,7,LINEA_E,44,545
lunes,7,LINEA_E,45,160
lunes,7,LINEA_E,46,581
lunes,7,LINEA_E,47,428
lunes,7,LINEA_E,48,422
lunes,7,LINEA_E,49,511
lunes,7,LINEA_E,50,515
lunes,7,LINEA_E,51,641
lunes,7,LINEA_E,52,1164
lunes,7,LINEA_E,53,1513
lunes,7,LINEA_E,59,615
lunes,7,LINEA_E,60,1163
lunes,7,LINEA_E,61,874
lunes,7,LINEA_E,67,3747
lunes,7,LINEA_E,68,834
lunes,7,LINEA_H,1,932
lunes,7,LINEA_H,2,1033
lunes,7,LINEA_H,3,1012
lunes,7,LINEA_H,4,1211
lunes,7,LINEA_H,5,2289
lunes,7,LINEA_H,77,497
lunes,7,LINEA_H,78,2258
lunes,7,LINEA_H,79,4335
lunes,7,LINEA_H,84,670
lunes,7,LINEA_H,85,1002
lunes,7,LINEA_H,86,860
lunes,8,LINEA_A,31,444
lunes,8,LINEA_A,32,458
lunes,8,LINEA_A,33,840
lunes,8,LINEA_A,34,1119
lunes,8,LINEA_A,35,1554
lunes,8,LINEA_A,36,636
lunes,8,LINEA_A,37,523
lunes,8,LINEA_A,38,3472
lunes,8,LINEA_A,39,1768
lunes,8,LINEA_A,40,2230
lunes,8,LINEA_A,41,2934
lunes,8,LINEA_A,42,4610
lunes,8,LINEA_A,43,5630
lunes,8,LINEA_A,70,1861
lunes,8,LINEA_A,75,5246
lunes,8,LINEA_A,76,2978
lunes,8,LINEA_A,82,6072
lunes,8,LINEA_A,83,14612
lunes,8,LINEA_B,20,622
lunes,8,LINEA_B,21,2330
lunes,8,LINEA_B,22,1327
lunes,8,LINEA_B,23,1898
lunes,8,LINEA_B,24,1456
lunes,8,LINEA_B,25,2231
lunes,8,LINEA_B,26,2061
lunes,8,LINEA_B,27,3781
lunes,8,LINEA_B,28,4472
lunes,8,LINEA_B,29,6509
lunes,8,LINEA_B,30,3393
lunes,8,LINEA_B,66,16225
lunes,8,LINEA_B,72,3307
lunes,8,LINEA_B,73,1914
lunes,8,LINEA_B,74,5043
lunes,8,LINEA_B,80,3856
lunes,8,LINEA_B,81,15060
lunes,8,LINEA_C,13,12080
lunes,8,LINEA_C,14,534
lunes,8,LINEA_C,15,343
lunes,8,LINEA_C,16,669
lunes,8,LINEA_C,17,678
lunes,8,LINEA_C,18,1386
lunes,8,LINEA_C,19,43334
lunes,8,LINEA_C,57,796
lunes,8,LINEA_C,58,1719
lunes,8,LINEA_D,6,1698
lunes,8,LINEA_D,7,2149
lunes,8,LINEA_D,8,1341
lunes,8,LINEA_D,9,3291
lunes,8,LINEA_D,10,4119
lunes,8,LINEA_D,11,3103
lunes,8,LINEA_D,12,4535
lunes,8,LINEA_D,54,4076
lunes,8,LINEA_D,55,2541
lunes,8,LINEA_D,56,1843
lunes,8,LINEA_D,62,4022
lunes,8,LINEA_D,63,3744
lunes,8,LINEA_D,64,3881
lunes,8,LINEA_D,65,4602
lunes,8,LINEA_D,69,2121
lunes,8,LINEA_D,71,14336
lunes,8,LINEA_E,44,672
lunes,8,LINEA_E,45,222
lunes,8,LINEA_E,46,855
lunes,8,LINEA_E,47,636
lunes,8,LINEA_E,48,599
lunes,8,LINEA_E,49,800
lunes,8,LINEA_E,50,1007
lunes,8,LINEA_E,51,1042
lunes,8,LINEA_E,52,2059
lunes,8,LINEA_E,53,2493
lunes,8,LINEA_E,59,924
lunes,8,LINEA_E,60,2144
lunes,8,LINEA_E,61,1601
lunes,8,LINEA_E,67,4621
lunes,8,LINEA_E,68,1161
lunes,8,LINEA_H,1,1479
lunes,8,LINEA_H,2,1620
lunes,8,LINEA_H,3,1667
lunes,8,LINEA_H,4,2113
lunes,8,LINEA_H,5,3241
lunes,8,LINEA_H,77,777
lunes,8,LINEA_H,78,3059
lunes,8,LINEA_H,79,5389
lunes,8,LINEA_H,84,1079
lunes,8,LINEA_H,85,1902
lunes,8,LINEA_H,86,1414
lunes,9,LINEA_A,31,696
lunes,9,LINEA_A,32,536
lunes,9,LINEA_A,33,945
lunes,9,LINEA_A,34,1391
lunes,9,LINEA_A,35,1833
lunes,9,LINEA_A,36,757
lunes,9,LINEA_A,37,611
lunes,9,LINEA_A,38,3650
lunes,9,LINEA_A,39,1872
lunes,9,LINEA_A,40,2457
lunes,9,LINEA_A,41,3185
lunes,9,LINEA_A,42,4601
lunes,9,LINEA_A,43,5247
lunes,9,LINEA_A,70,1882
lunes,9,LINEA_A,75,3768
lunes,9,LINEA_A,76,2413
lunes,9,LINEA_A,82,4414
lunes,9,LINEA_A,83,9957
lunes,9,LINEA_B,20,1083
lunes,9,LINEA_B,21,2415
lunes,9,LINEA_B,22,1890
lunes,9,LINEA_B,23,2214
lunes,9,LINEA_B,24,1682
lunes,9,LINEA_B,25,2473
lunes,9,LINEA_B,26,2145
lunes,9,LINEA_B,27,3678
lunes,9,LINEA_B,28,4195
lunes,9,LINEA_B,29,6226
lunes,9,LINEA_B,30,2878
lunes,9,LINEA_B,66,13822
lunes,9,LINEA_B,72,2860
lunes,9,LINEA_B,73,1428
lunes,9,LINEA_B,74,3846
lunes,9,LINEA_B,80,2524
lunes,9,LINEA_B,81,10226
lunes,9,LINEA_C,13,12598
lunes,9,LINEA_C,14,592
lunes,9,LINEA_C,15,463
lunes,9,LINEA_C,16,772
lunes,9,LINEA_C,17,839
lunes,9,LINEA_C,18,1294
lunes,9,LINEA_C,19,31347
lunes,9,LINEA_C,57,787
lunes,9,LINEA_C,58,1823
lunes,9,LINEA_D,6,1691
lunes,9,LINEA_D,7,2817
lunes,9,LINEA_D,8,1915
lunes,9,LINEA_D,9,3052
lunes,9,LINEA_D,10,3823
lunes,9,LINEA_D,11,2977
lunes,9,LINEA_D,12,4406
lunes,9,LINEA_D,54,4082
lunes,9,LINEA_D,55,2824
lunes,9,LINEA_D,56,2482
lunes,9,LINEA_D,62,3670
lunes,9,LINEA_D,63,3474
lunes,9,LINEA_D,64,3045
lunes,9,LINEA_D,65,3895
lunes,9,LINEA_D,69,2427
lunes,9,LINEA_D,71,10916
lunes,9,LINEA_E,44,788
lunes,9,LINEA_E,45,240
lunes,9,LINEA_E,46,776
lunes,9,LINEA_E,47,553
lunes,9,LINEA_E,48,574
lunes,9,LINEA_E,49,755
lunes,9,LINEA_E,50,804
lunes,9,LINEA_E,51,950
lunes,9,LINEA_E,52,1404
lunes,9,LINEA_E,53,1936
lunes,9,LINEA_E,59,741
lunes,9,LINEA_E,60,1827
lunes,9,LINEA_E,61,1425
lunes,9,LINEA_E,67,3189
lunes,9,LINEA_E,68,775
lunes,9,LINEA_H,1,1303
lunes,9,LINEA_H,2,1388
lunes,9,LINEA_H,3,1337
lunes,9,LINEA_H,4,1702
lunes,9,LINEA_H,5,2825
lunes,9,LINEA_H,77,772
lunes,9,LINEA_H,78,2054
lunes,9,LINEA_H,79,3210
lunes,9,LINEA_H,84,1005
lunes,9,LINEA_H,85,1867
lunes,9,LINEA_H,86,1419
lunes,10,LINEA_A,31,1213
lunes,10,LINEA_A,32,743
lunes,10,LINEA_A,33,1096
lunes,10,LINEA_A,34,1581
lunes,10,LINEA_A,35,2118
lunes,10,LINEA_A,36,828
lunes,10,LINEA_A,37,699
lunes,10,LINEA_A,38,3353
lunes,10,LINEA_A,39,1562
lunes,10,LINEA_A,40,2028
lunes,10,LINEA_A,41,2324
lunes,10,LINEA_A,42,3034
lunes,10,LINEA_A,43,3112
lunes,10,LINEA_A,70,1870
lunes,10,LINEA_A,75,2544
lunes,10,LINEA_A,76,1458
lunes,10,LINEA_A,82,2749
lunes,10,LINEA_A,83,5807
lunes,10,LINEA_B,20,1925
lunes,10,LINEA_B,21,2966
lunes,10,LINEA_B,22,2752
lunes,10,LINEA_B,23,2606
lunes,10,LINEA_B,24,2200
lunes,10,LINEA_B,25,2470
lunes,10,LINEA_B,26,2075
lunes,10,LINEA_B,27,3263
lunes,10,LINEA_B,28,3257
lunes,10,LINEA_B,29,4337
lunes,10,LINEA_B,30,2163
lunes,10,LINEA_B,66,8329
lunes,10,LINEA_B,72,2790
lunes,10,LINEA_B,73,1134
lunes,10,LINEA_B,74,2459
lunes,10,LINEA_B,80,1546
lunes,10,LINEA_B,81,5714
lunes,10,LINEA_C,13,9058
lunes,10,LINEA_C,14,867
lunes,10,LINEA_C,15,682
lunes,10,LINEA_C,16,916
lunes,10,LINEA_C,17,1209
lunes,10,LINEA_C,18,1194
lunes,10,LINEA_C,19,20040
lunes,10,LINEA_C,57,1063
lunes,10,LINEA_C,58,1232
lunes,10,LINEA_D,6,1609
lunes,10,LINEA_D,7,2691
lunes,10,LINEA_D,8,2592
lunes,10,LINEA_D,9,2141
lunes,10,LINEA_D,10,2629
lunes,10,LINEA_D,11,2363
lunes,10,LINEA_D,12,3685
lunes,10,LINEA_D,54,3060
lunes,10,LINEA_D,55,2115
lunes,10,LINEA_D,56,2420
lunes,10,LINEA_D,62,2641
lunes,10,LINEA_D,63,2599
lunes,10,LINEA_D,64,2429
lunes,10,LINEA_D,65,3203
lunes,10,LINEA_D,69,3108
lunes,10,LINEA_D,71,6951
lunes,10,LINEA_E,44,1136
lunes,10,LINEA_E,45,325
lunes,10,LINEA_E,46,853
lunes,10,LINEA_E,47,531
lunes,10,LINEA_E,48,516
lunes,10,LINEA_E,49,612
lunes,10,LINEA_E,50,652
lunes,10,LINEA_E,51,759
lunes,10,LINEA_E,52,845
lunes,10,LINEA_E,53,1232
lunes,10,LINEA_E,59,434
lunes,10,LINEA_E,60,1155
lunes,10,LINEA_E,61,1139
lunes,10,LINEA_E,67,1961
lunes,10,LINEA_E,68,548
lunes,10,LINEA_H,1,1029
lunes,10,LINEA_H,2,952
lunes,10,LINEA_H,3,1156
lunes,10,LINEA_H,4,1593
lunes,10,LINEA_H,5,2538
lunes,10,LINEA_H,77,853
lunes,10,LINEA_H,78,1707
lunes,10,LINEA_H,79,2397
lunes,10,LINEA_H,84,967
lunes,10,LINEA_H,85,1759
lunes,10,LINEA_H,86,1403
lunes,11,LINEA_A,31,1747
lunes,11,LINEA_A,32,921
lunes,11,LINEA_A,33,1357
lunes,11,LINEA_A,34,1771
lunes,11,LINEA_A,35,2453
lunes,11,LINEA_A,36,939
lunes,11,LINEA_A,37,941
lunes,11,LINEA_A,38,3030
lunes,11,LINEA_A,39,1560
lunes,11,LINEA_A,40,1780
lunes,11,LINEA_A,41,2236
lunes,11,LINEA_A,42,2935
lunes,11,LINEA_A,43,2655
lunes,11,LINEA_A,70,2078
lunes,11,LINEA_A,75,2321
lunes,11,LINEA_A,76,1126
lunes,11,LINEA_A,82,2522
lunes,11,LINEA_A,83,4941
lunes,11,LINEA_B,20,2960
lunes,11,LINEA_B,21,3680
lunes,11,LINEA_B,22,3497
lunes,11,LINEA_B,23,2853
lunes,11,LINEA_B,24,2588
lunes,11,LINEA_B,25,2716
lunes,11,LINEA_B,26,2290
lunes,11,LINEA_B,27,3202
lunes,11,LINEA_B,28,2980
lunes,11,LINEA_B,29,3795
lunes,11,LINEA_B,30,2042
lunes,11,LINEA_B,66,6554
lunes,11,LINEA_B,72,3133
lunes,11,LINEA_B,73,1002
lunes,11,LINEA_B,74,2108
lunes,11,LINEA_B,80,1238
lunes,11,LINEA_B,81,4838
lunes,11,LINEA_C,13,7773
lunes,11,LINEA_C,14,1202
lunes,11,LINEA_C,15,942
lunes,11,LINEA_C,16,1108
lunes,11,LINEA_C,17,1382
lunes,11,LINEA_C,18,1204
lunes,11,LINEA_C,19,16200
lunes,11,LINEA_C,57,1409
lunes,11,LINEA_C,58,1017
lunes,11,LINEA_D,6,2014
lunes,11,LINEA_D,7,3263
lunes,11,LINEA_D,8,2981
lunes,11,LINEA_D,9,2024
lunes,11,LINEA_D,10,2286
lunes,11,LINEA_D,11,2264
lunes,11,LINEA_D,12,3227
lunes,11,LINEA_D,54,3085
lunes,11,LINEA_D,55,1927
lunes,11,LINEA_D,56,2972
lunes,11,LINEA_D,62,2350
lunes,11,LINEA_D,63,2401
lunes,11,LINEA_D,64,2127
lunes,11,LINEA_D,65,3009
lunes,11,LINEA_D,69,4169
lunes,11,LINEA_D,71,5869
lunes,11,LINEA_E,44,1696
lunes,11,LINEA_E,45,442
lunes,11,LINEA_E,46,1513
lunes,11,LINEA_E,47,514
lunes,11,LINEA_E,48,488
lunes,11,LINEA_E,49,474
lunes,11,LINEA_E,50,634
lunes,11,LINEA_E,51,630
lunes,11,LINEA_E,52,752
lunes,11,LINEA_E,53,1049
lunes,11,LINEA_E,59,369
lunes,11,LINEA_E,60,976
lunes,11,LINEA_E,61,949
lunes,11,LINEA_E,67,1720
lunes,11,LINEA_E,68,475
lunes,11,LINEA_H,1,1074
lunes,11,LINEA_H,2,841
lunes,11,LINEA_H,3,1127
lunes,11,LINEA_H,4,1607
lunes,11,LINEA_H,5,2508
lunes,11,LINEA_H,77,1058
lunes,11,LINEA_H,78,1580
lunes,11,LINEA_H,79,1897
lunes,11,LINEA_H,84,1188
lunes,11,LINEA_H,85,1917
lunes,11,LINEA_H,86,1768
lunes,12,LINEA_A,31,2408
lunes,12,LINEA_A,32,1218
lunes,12,LINEA_A,33,1591
lunes,12,LINEA_A,34,2027
lunes,12,LINEA_A,35,2657
lunes,12,LINEA_A,36,916
lunes,12,LINEA_A,37,1115
lunes,12,LINEA_A,38,3489
lunes,12,LINEA_A,39,1775
lunes,12,LINEA_A,40,2084
lunes,12,LINEA_A,41,2160
lunes,12,LINEA_A,42,3078
lunes,12,LINEA_A,43,2444
lunes,12,LINEA_A,70,2539
lunes,12,LINEA_A,75,2145
lunes,12,LINEA_A,76,1093
lunes,12,LINEA_A,82,2358
lunes,12,LINEA_A,83,4742
lunes,12,LINEA_B,20,3925
lunes,12,LINEA_B,21,4435
lunes,12,LINEA_B,22,4130
lunes,12,LINEA_B,23,3543
